계정코드,재무업종,코드타입,재무제표종류,한글명,영문명,단위
111000,0,E,,자산총계,Total Assets,천원
111100,0,E,,유동자산,Current Assets,천원
111300,0,E,,현금성자산,Cashable assets,천원
111400,0,E,,매출채권,Accounts Receivable,천원
111600,0,E,,비유동자산,Non-current Assets,천원
111900,0,E,,무형자산,Intangible Assets,천원
113000,0,E,,부채총계,Total Liabilities,천원
113100,0,E,,유동부채,Current Liabilities,천원
113200,0,E,,매입채무,Accounts Payable,천원
113250,0,E,,유동성장기부채,Current Portion of Lt. Debt,천원
113450,0,E,,기타유동부채,Other Current Liabilities,천원
113500,0,E,,비유동부채,Non-current Liabilities,천원
113600,0,E,,사채,Bonds,천원
113650,0,E,,기타비유동부채,Other Lt. Liabilities,천원
113700,0,E,,장기차입금,Lt. Debt,천원
113750,0,E,,단기차입금,St. Debt,천원
113770,0,E,,차입금,Debt,천원
113900,0,E,,순부채,Net Debt,천원
115000,0,E,,자본총계,Total Stockholders' Equity,천원
115020,0,E,,자본총계(지배),Total Stockholders' Equity(Owners),천원
115100,0,E,,자본금,Paid-in Capital,천원
121000,0,E,,매출액,Net Sales,천원
121050,0,E,,총매출액(유통업),Gross Sales,천원
121450,0,E,,영업이익(K-GAAP),Operating Profit(K-GAAP),천원
121500,0,E,,영업이익,Operating Profit,천원
121700,0,E,,이자손익,Interest Gains(Losses),천원
121800,0,E,,이자수익,Interest Income,천원
121900,0,E,,이자비용,Interest Expenses,천원
122100,0,E,,감가상각비,Depreciation,천원
122500,0,E,,세전계속사업이익,Pre-tax Profit from Continuing Operations,천원
122700,0,E,,당기순이익,Net Profit,천원
122710,0,E,,당기순이익(지배),Net Profit(Owners),천원
122740,0,E,,총포괄이익,Total Comprehensive Income,천원
123000,0,E,,EBITDA,EBITDA,천원
124000,0,E,,EBIT,EBIT,천원
124010,0,E,,EBIT(Reported),EBIT(Reported),천원
124200,0,E,,FCF,FCF,천원
124210,0,E,,FreeCashFlow/Mkt. Cap.,FCF/Mkt. Cap.,배
131000,0,E,,영업활동현금흐름,Operating Cash Flows,천원
132000,0,E,,투자활동현금흐름,Investing Cash Flows,천원
133000,0,E,,재무활동현금흐름,Financing Cash Flows,천원
135000,0,E,,CAPEX,CAPEX,천원
135010,0,E,,CAPEX/Asset,CAEPX/Assets,비율
135020,0,E,,CAPEX Growth비중,CAPEX Growth Proportion,비율
135030,0,E,,(CAPEX-DEP)/Asset,(CAPEX-DEP)/Assets,비율
138000,0,E,,순자산(Book Value),Net Assets(Book Value),천원
211000,0,E,,영업이익률,Operating Profit/Sales,비율
211010,0,E,,영업이익률(K-GAAP),Operating Profit/Sales(K-GAAP),비율
