계정코드,재무업종,코드타입,재무제표종류,한글명,영문명,단위
100100,0,S,,종가,Close,원/주
100110,0,S,,시가,Open,원/주
100120,0,S,,고가,High,원/주
100130,0,S,,저가,Low,원/주
100200,0,S,,종가(우선주),Close(Pref.),원/주
100210,0,S,,시가(우선주),Open(Pref.),원/주
100220,0,S,,고가(우선주),High(Pref.),원/주
100230,0,S,,저가(우선주),Low(Pref.),원/주
100300,0,S,,수정주가,Adj. Price,원/주
100310,0,S,,수정시가,Adj. Open,원/주
100320,0,S,,수정고가,Adj. High,원/주
100330,0,S,,수정저가,Adj. Low,원/주
100400,0,S,,수정주가(우선주),Adj. Price(Pref.),원/주
100410,0,S,,수정시가(우선주),Adj. Open(Pref.),원/주
100420,0,S,,수정고가(우선주),Adj. High(Pref.),원/주
100430,0,S,,수정저가(우선주),Adj. Low(Pref.),원/주
100500,0,S,,수정주가수익률,Adj. Price Rtn.,비율
100510,0,S,,1주전대비수익률,1wks Adj. Price Rtn.,비율
100520,0,S,,1주전대비수익률(우선주),1wks Adj. Price Rtn.(Pref.),비율
100530,0,S,,연초대비수익률,YTD Adj. Price Rtn.,비율
100540,0,S,,연초대비수익률(우선주),YTD Adj. Price Rtn.(Pref.),비율
100550,0,S,,1개월전대비수익률,1M Adj. Price Rtn.,비율
100560,0,S,,1개월전대비수익률(우선주),1M Adj. Price Rtn.(Pref.),비율
100570,0,S,,3개월전대비수익률,3M Adj. Price Rtn.,비율
100580,0,S,,3개월전대비수익률(우선주),3M Adj. Price Rtn.(Pref.),비율
100590,0,S,,6개월전대비수익률,6M Adj. Price Rtn.,비율
100600,0,S,,수정주가수익률(우선주),Adj. Price Rtn.(Pref.),비율
100610,0,S,,6개월전대비수익률(우선주),6M Adj. Price Rtn.(Pref.),비율
100620,0,S,,12개월전대비수익률,12M Adj. Price Rtn.,비율
100630,0,S,,12개월전대비수익률(우선주),12M Adj. Price Rtn.(Pref.),비율
100700,0,S,,액면가,Face Value,원/주
100800,0,S,,액면가(우선주),Face Value(Pref.),원/주
100820,0,S,,기준가,Base Value,원/주
100840,0,S,,기준가(우선주),Base Value(Pref.),원/주
100900,0,S,,거래량,Volume,주
101000,0,S,,거래량(우선주),Volume(Pref.),주
101100,0,S,,거래량(전체),Volume(All),주
101200,0,S,,거래대금,Turnover,원
101300,0,S,,거래대금(우선주),Turnover(Pref.),원
101400,0,S,,거래대금(전체),Turnover(All),원
101500,0,S,,상장주식수,Listed Shares,주
101510,0,S,,지수산정주식수,Listed Shares To Be,주
101550,0,S,,자기주식수,Treasury Stock,주
101600,0,S,,상장주식수(우선주),Listed Shares(Pref.),주
101610,0,S,,지수산정주식수(우선주),Listed Shares To Be(Pref.),주
101650,0,S,,자기주식수(우선주),Treasury Stock(Pref.),주
101700,0,S,,상장주식수(전체),Listed Shares(All),주
101710,0,S,,지수산정주식수(전체),Listed Shares To Be(All),주
101750,0,S,,자기주식수(전체),Treasury Stock(All),주
101760,0,S,,액면조정자기주식수,No. of Treasury Stock(FY End)-Split & Rev. Split,주
101770,0,S,,액면조정자기주식수(우선주),No. of Treasury Stock(FY End)-Split & Rev. Split(Pref.),주
101780,0,S,,액면조정자기주식수(전체),No. of Treasury Stock(FY End)-Split & Rev. Split(All),주
101800,0,S,,외국인주식수,For. Shares,주
101850,0,S,,외국인지분율,For. Shares Ratio,비율
101900,0,S,,외국인주식수(우선주),For. Shares(Pref.),주
101950,0,S,,외국인지분율(우선주),For. Shares Ratio(Pref.),비율
102000,0,S,,외국인주식수(전체),For. Shares(All),주
102050,0,S,,외국인지분율(전체),For. Shares Ratio(All),비율
102052,0,S,,외국인한도수량,For.Upper Limit Shares,%
102054,0,S,,외국인한도비율,For.Upper Limit Ratio,비율
102055,0,S,,외국인시가총액,Mkt. Cap.(For.),원
102056,0,S,,외국인시가총액(우선주),"Mkt. Cap.(For., Pref.)",원
102057,0,S,,외국인시가총액(전체),"Mkt. Cap.(For., All)",원
102060,0,S,,유통주식비율,Free Float,%
102065,0,S,,KRX유통주식비율,KRX Free Float,비율
102100,0,S,,시가총액,Mkt. Cap.,원
102200,0,S,,시가총액(우선주),Mkt. Cap.(Pref.),원
102300,0,S,,시가총액(전체),Mkt. Cap.(All),원
102301,0,S,,지수산정시가총액,Mkt. Cap. for Index,원
102302,0,S,,지수산정시가총액(구형우선주),Mkt. Cap. for Index(Pref.),원
102303,0,S,,변동성,Volatility,
102304,0,S,,변동성(우선주),Volatility(Pref.),
102310,0,S,,공매도수량,Short Selling Volume,주
102315,0,S,,공매도수량비중,Short Selling Volume Weight,%
102320,0,S,,공매도수량(우선주),Short Selling Volume(Pref.),주
102325,0,S,,공매도수량비중(우선주),Short Selling Volume Weight(Pref.),%
102330,0,S,,공매도수량(전체),Short Selling Volume(All),주
102335,0,S,,공매도수량비중(전체),Short Selling Volume Weight(All),%
102340,0,S,,공매도금액,Short Selling Turnover,천원
102345,0,S,,공매도금액비중,Short Selling Turnover Weight,%
102350,0,S,,공매도금액(우선주),Short Selling Turnover(Pref.),천원
102355,0,S,,공매도금액비중(우선주),Short Selling Turnover Weight(Pref.),%
102360,0,S,,공매도금액(전체),Short Selling Turnover(All),천원
102365,0,S,,공매도금액비중(전체),Short Selling Turnover Weight(All),%
102400,0,S,,일평균거래량,Avg. Volume Per Day,주
102500,0,S,,일평균거래량(우선주),Avg. Volume Per Day(Pref.),주
102600,0,S,,일평균거래량(전체),Avg. Volume Per Day(All),주
102700,0,S,,일평균거래대금,Avg. Turnover Per Day,원
102800,0,S,,일평균거래대금(우선주),Avg. Turnover Per Day(Pref.),원
102900,0,S,,일평균거래대금(전체),Avg. Turnover Per Day(All),원
103000,0,S,,일평균시가총액,Avg. Mkt. Cap. Per Day,원
103100,0,S,,일평균시가총액(우선주),Avg. Mkt. Cap. Per Day(Pref.),원
103200,0,S,,일평균시가총액(전체),Avg. Mkt. Cap. Per Day(All),원
103210,0,S,,일평균외국인시가총액,Avg. Mkt. Cap. Per Day(For.),원
103220,0,S,,일평균외국인시가총액(우선주),"Avg. Mkt. Cap. Per Day(For., Pref.)",원
103230,0,S,,일평균외국인시가총액(전체),"Avg. Mkt. Cap. Per Day(For., All)",원
103300,0,S,,52주최고가,52wks High Close,원/주
103400,0,S,,52주최고가(우선주),52wks High Close(Pref.),원/주
103500,0,S,,52주최저가,52wks Low Close,원/주
103600,0,S,,52주최저가(우선주),52wks Low Close(Pref.),원/주
103700,0,S,,52주평균종가,52wks Avg. Close,원/주
103800,0,S,,52주평균종가(우선주),52wks Avg. Close(Pref.),원/주
103900,0,S,,52주최고수정주가,52wks High Adj. Price,원/주
103905,0,S,,52주최고수정종가,52wks High Adj. Price(based on closing),원/주
104000,0,S,,52주최고수정주가(우선주),52wks High Adj. Price(Pref.),원/주
104005,0,S,,52주최고수정종가(우선주),"52wks High Adj. Price(Pref., based on closing)",원/주
104100,0,S,,52주최저수정주가,52wks Low Adj. Price,원/주
104105,0,S,,52주최저수정종가,52wks Low Adj. Price(based on closing),원/주
104200,0,S,,52주최저수정주가(우선주),52wks Low Adj. Price(Pref.),원/주
104205,0,S,,52주최저수정종가(우선주),"52wks Low Adj. Price(Pref., based on closing)",원/주
104300,0,S,,52주평균수정주가,52wks Avg. Adj. Price,원/주
104400,0,S,,52주평균수정주가(우선주),52wks Avg. Adj. Price(Pref.),원/주
104500,0,S,,52주최고액면조정수정주가,52wks High Adj. Price-Stock Split,원/주
104600,0,S,,52주최고액면조정수정주가(우선주),52wks High Adj. Price-Stock Split(Pref.),원/주
104700,0,S,,52주최저액면조정수정주가,52wks Low Adj. Price-Stock Split,원/주
104800,0,S,,52주최저액면조정수정주가(우선주),52wks Low Adj. Price-Stock Split(Pref.),원/주
